"date","state","cumu_cases","cumu_deaths","fips","daily_deaths","daily_cases","3_Day_MA_Ddeaths","7_Day_MA_Ddeaths","30_Day_MA_Ddeaths","3_Day_MA_Dcases","7_Day_MA_Dcases","30_Day_MA_Dcases"
2020-01-22,"AL",35,0,1,1,1,0,0,0,0,0,0
2020-01-23,"AL",36,0,1,0,1,0,0,0,0,0,0
2020-01-24,"AL",36,0,1,0,0,0,0,0,1,0,0
2020-01-25,"AL",39,0,1,0,3,0,0,0,1,0,0
2020-01-26,"AL",39,0,1,0,0,0,0,0,1,0,0
2020-01-27,"AL",40,0,1,0,1,0,0,0,1,0,0
2020-01-28,"AL",41,0,1,0,1,0,0,0,1,1,0
2020-01-29,"AL",42,0,1,0,1,0,0,0,1,1,0
2020-01-30,"AL",44,0,1,0,2,0,0,0,1,1,0
2020-01-31,"AL",46,0,1,0,2,0,0,0,2,1,0
2020-02-01,"AL",48,0,1,0,2,0,0,0,2,1,0
2020-02-02,"AL",49,0,1,0,1,0,0,0,2,1,0
2020-02-03,"AL",53,0,1,0,4,0,0,0,2,2,0
2020-02-04,"AL",54,0,1,0,1,0,0,0,2,2,0
2020-02-05,"AL",55,0,1,0,1,0,0,0,2,2,0
2020-02-06,"AL",55,0,1,0,0,0,0,0,1,2,0
2020-02-07,"AL",55,0,1,0,0,0,0,0,0,1,0
2020-02-08,"AL",56,0,1,0,1,0,0,0,0,1,0
2020-02-09,"AL",58,0,1,0,2,0,0,0,1,1,0
2020-02-10,"AL",59,0,1,0,1,0,0,0,1,1,0
2020-02-11,"AL",60,0,1,0,1,0,0,0,1,1,0
2020-02-12,"AL",61,0,1,0,1,0,0,0,1,1,0
2020-02-13,"AL",62,0,1,0,1,0,0,0,1,1,0
2020-02-14,"AL",65,0,1,0,3,0,0,0,2,1,0
2020-02-15,"AL",67,0,1,0,2,0,0,0,2,2,0
2020-02-16,"AL",67,0,1,0,0,0,0,0,2,1,0
2020-02-17,"AL",71,0,1,0,4,0,0,0,2,2,0
2020-02-18,"AL",71,0,1,0,0,0,0,0,1,2,0
2020-02-19,"AL",71,0,1,0,0,0,0,0,1,1,0
2020-02-20,"AL",72,0,1,0,1,0,0,0,0,1,1
2020-02-21,"AL",76,0,1,0,4,0,0,0,2,2,1
2020-02-22,"AL",76,0,1,0,0,0,0,0,2,1,1
2020-02-23,"AL",77,0,1,0,1,0,0,0,2,1,1
2020-02-24,"AL",81,0,1,0,4,0,0,0,2,1,1
2020-02-25,"AL",82,0,1,0,1,0,0,0,2,2,1
2020-02-26,"AL",84,0,1,0,2,0,0,0,2,2,1
2020-02-27,"AL",91,1,1,1,7,0,0,0,3,3,2
2020-02-28,"AL",95,1,1,0,4,0,0,0,4,3,2
2020-02-29,"AL",99,1,1,0,4,0,0,0,5,3,2
2020-03-01,"AL",114,1,1,0,15,0,0,0,8,5,2
2020-03-02,"AL",123,1,1,0,9,0,0,0,9,6,2
2020-03-03,"AL",133,1,1,0,10,0,0,0,11,7,3
2020-03-04,"AL",141,1,1,0,8,0,0,0,9,8,3
2020-03-05,"AL",150,1,1,0,9,0,0,0,9,8,3
2020-03-06,"AL",158,1,1,0,8,0,0,0,8,9,3
2020-03-07,"AL",171,1,1,0,13,0,0,0,10,10,4
2020-03-08,"AL",185,1,1,0,14,0,0,0,12,10,4
2020-03-09,"AL",212,1,1,0,27,0,0,0,18,13,5
2020-03-10,"AL",236,1,1,0,24,0,0,0,22,15,6
2020-03-11,"AL",265,1,1,0,29,0,0,0,27,18,7
2020-03-12,"AL",302,1,1,0,37,0,0,0,30,22,8
2020-03-13,"AL",366,1,1,0,64,0,0,0,43,30,10
2020-03-14,"AL",443,1,1,0,77,0,0,0,59,39,13
2020-03-15,"AL",510,2,1,1,67,0,0,0,69,46,15
2020-03-16,"AL",622,2,1,0,112,0,0,0,85,59,18
2020-03-17,"AL",746,3,1,1,124,1,0,0,101,73,23
2020-03-18,"AL",886,3,1,0,140,0,0,0,125,89,27
2020-03-19,"AL",1005,4,1,1,119,1,0,0,128,100,31
2020-03-20,"AL",1155,4,1,0,150,0,0,0,136,113,36
2020-03-21,"AL",1269,4,1,0,114,0,0,0,128,118,40
2020-03-22,"AL",1390,4,1,0,121,0,0,0,128,126,44
2020-03-23,"AL",1606,5,1,1,216,0,0,0,150,141,51
2020-03-24,"AL",1765,6,1,1,159,1,0,0,165,146,56
2020-03-25,"AL",1935,10,1,4,170,2,1,0,182,150,62
2020-03-26,"AL",2093,12,1,2,158,2,1,0,162,155,67
2020-03-27,"AL",2311,22,1,10,218,5,3,1,182,165,74
2020-03-28,"AL",2453,27,1,5,142,6,3,1,173,169,79
2020-03-29,"AL",2586,32,1,5,133,7,4,1,164,171,83
2020-03-30,"AL",2824,41,1,9,238,6,5,1,171,174,91
2020-03-31,"AL",3025,49,1,8,201,7,6,2,191,180,97
2020-04-01,"AL",3219,56,1,7,194,8,7,2,211,183,103
2020-04-02,"AL",3436,59,1,3,217,6,7,2,204,192,110
2020-04-03,"AL",3638,67,1,8,202,6,6,2,204,190,117
2020-04-04,"AL",3783,71,1,4,145,5,6,2,188,190,121
2020-04-05,"AL",3949,84,1,13,166,8,7,3,171,195,126
2020-04-06,"AL",4230,95,1,11,281,9,8,3,197,201,135
2020-04-07,"AL",4472,108,1,13,242,12,8,4,230,207,143
2020-04-08,"AL",4694,118,1,10,222,11,9,4,248,211,149
2020-04-09,"AL",4925,129,1,11,231,11,10,4,232,213,156
2020-04-10,"AL",5118,141,1,12,193,11,11,5,215,211,162
2020-04-11,"AL",5229,150,1,9,111,11,11,5,178,207,164
2020-04-12,"AL",5347,160,1,10,118,10,11,5,141,200,166
2020-04-13,"AL",5609,168,1,8,262,9,10,6,164,197,172
2020-04-14,"AL",5793,180,1,12,184,10,10,6,188,189,176
2020-04-15,"AL",5960,192,1,12,167,11,11,6,204,181,178
2020-04-16,"AL",6179,203,1,11,219,12,11,7,190,179,181
2020-04-17,"AL",6385,222,1,19,206,14,12,7,197,181,183
2020-04-18,"AL",6579,239,1,17,194,16,13,8,206,193,186
2020-04-19,"AL",6716,248,1,9,137,15,13,8,179,196,185
2020-04-20,"AL",7016,256,1,8,300,11,13,8,210,201,192
2020-04-21,"AL",7285,265,1,9,269,9,12,9,235,213,196
2020-04-22,"AL",7533,284,1,19,248,12,13,9,272,225,198
2020-04-23,"AL",7746,296,1,12,213,13,13,10,243,224,199
2020-04-24,"AL",7967,310,1,14,221,15,13,10,227,226,201
2020-04-25,"AL",8178,323,1,13,211,13,12,10,215,228,203
2020-04-26,"AL",8351,338,1,15,173,14,13,11,202,234,201
2020-04-27,"AL",8690,350,1,12,339,13,13,11,241,239,208
2020-04-28,"AL",9009,362,1,12,319,13,14,11,277,246,214
2020-04-29,"AL",9277,373,1,11,268,12,13,11,309,249,215
2020-04-30,"AL",9572,387,1,14,295,12,13,11,294,261,218
2020-05-01,"AL",9919,405,1,18,347,14,14,12,303,279,223
2020-05-02,"AL",10056,417,1,12,137,15,13,12,260,268,221
2020-05-03,"AL",10229,437,1,20,173,17,14,12,219,268,220
2020-05-04,"AL",10557,456,1,19,328,17,15,13,213,267,226
2020-05-05,"AL",10868,481,1,25,311,21,17,13,271,266,231
2020-05-06,"AL",11183,492,1,11,315,18,17,13,318,272,232
2020-05-07,"AL",11472,501,1,9,289,15,16,13,305,271,233
2020-05-08,"AL",11767,520,1,19,295,13,16,13,300,264,236
2020-05-09,"AL",11936,536,1,16,169,15,17,14,251,269,234
2020-05-10,"AL",12172,547,1,11,236,15,16,14,233,278,235
2020-05-11,"AL",12601,562,1,15,429,14,15,14,278,292,246
2020-05-12,"AL",13006,576,1,14,405,13,14,14,357,305,255
2020-05-13,"AL",13437,593,1,17,431,15,14,14,422,322,261
2020-05-14,"AL",13857,615,1,22,420,18,16,14,419,341,269
2020-05-15,"AL",14290,628,1,13,433,17,15,15,428,360,278
2020-05-16,"AL",14584,637,1,9,294,15,14,14,382,378,280
2020-05-17,"AL",14836,649,1,12,252,11,15,14,326,381,282
2020-05-18,"AL",15354,665,1,16,518,12,15,14,355,393,292
2020-05-19,"AL",15875,681,1,16,521,15,15,14,430,410,305
2020-05-20,"AL",16433,701,1,20,558,17,15,15,532,428,314
2020-05-21,"AL",16953,716,1,15,520,17,14,15,533,442,322
2020-05-22,"AL",17358,728,1,12,405,16,14,15,494,438,328
2020-05-23,"AL",17671,734,1,6,313,11,14,15,413,441,331
2020-05-24,"AL",17956,752,1,18,285,12,15,15,334,446,333
2020-05-25,"AL",18316,763,1,11,360,12,14,15,319,423,338
2020-05-26,"AL",18908,781,1,18,592,16,14,15,412,433,352
2020-05-27,"AL",19556,801,1,20,648,16,14,15,533,446,362
2020-05-28,"AL",20080,820,1,19,524,19,15,15,588,447,369
2020-05-29,"AL",20604,841,1,21,524,20,16,16,565,464,378
2020-05-30,"AL",20983,856,1,15,379,18,17,16,476,473,380
2020-05-31,"AL",21350,866,1,10,367,15,16,15,423,485,381
2020-06-01,"AL",22113,882,1,16,763,14,17,16,503,542,402
2020-06-02,"AL",22662,903,1,21,549,16,17,16,560,536,414
2020-06-03,"AL",23259,919,1,16,597,18,17,15,636,529,423
2020-06-04,"AL",23778,931,1,12,519,16,16,15,555,528,430
2020-06-05,"AL",24418,945,1,14,640,14,15,15,585,545,441
2020-06-06,"AL",24817,958,1,13,399,13,15,15,519,548,445
2020-06-07,"AL",25179,975,1,17,362,15,16,15,467,547,447
2020-06-08,"AL",25970,990,1,15,791,15,15,15,517,551,468
2020-06-09,"AL",26685,1006,1,16,715,16,15,15,623,575,484
2020-06-10,"AL",27480,1021,1,15,795,15,15,15,767,603,496
2020-06-11,"AL",28228,1040,1,19,748,17,16,15,753,636,507
2020-06-12,"AL",28922,1053,1,13,694,16,15,15,746,643,516
2020-06-13,"AL",29364,1061,1,8,442,13,15,15,628,650,517
2020-06-14,"AL",29773,1075,1,14,409,12,14,15,515,656,516
2020-06-15,"AL",30713,1092,1,17,940,13,15,15,597,678,538
2020-06-16,"AL",31510,1114,1,22,797,18,15,16,715,689,556
2020-06-17,"AL",32417,1121,1,7,907,15,14,15,881,705,569
2020-06-18,"AL",33278,1128,1,7,861,12,13,15,855,721,580
2020-06-19,"AL",34172,1149,1,21,894,12,14,15,887,750,591
2020-06-20,"AL",34821,1169,1,20,649,16,15,15,801,780,596
2020-06-21,"AL",35419,1186,1,17,598,19,16,15,714,807,602
2020-06-22,"AL",36662,1198,1,12,1243,16,15,15,830,850,633
2020-06-23,"AL",37770,1219,1,21,1108,17,15,16,983,894,660
2020-06-24,"AL",38885,1242,1,23,1115,19,17,16,1155,924,686
2020-06-25,"AL",39974,1253,1,11,1089,18,18,16,1104,957,702
2020-06-26,"AL",41081,1266,1,13,1107,16,17,16,1104,987,718
2020-06-27,"AL",41801,1287,1,21,720,15,17,16,972,997,724
2020-06-28,"AL",42612,1302,1,15,811,16,17,15,879,1028,734
2020-06-29,"AL",44234,1320,1,18,1622,18,17,15,1051,1082,775
2020-06-30,"AL",45724,1343,1,23,1490,19,18,16,1308,1136,812
2020-07-01,"AL",47373,1361,1,18,1649,20,17,16,1587,1213,842
2020-07-02,"AL",49002,1387,1,26,1629,22,19,16,1589,1290,878
2020-07-03,"AL",50161,1417,1,30,1159,25,22,17,1479,1297,897
2020-07-04,"AL",50741,1435,1,18,580,25,21,17,1123,1277,899
2020-07-05,"AL",51562,1454,1,19,821,22,22,17,853,1279,905
2020-07-06,"AL",54122,1471,1,17,2560,18,22,17,1320,1413,977
2020-07-07,"AL",56668,1490,1,19,2546,18,21,17,1976,1563,1050
2020-07-08,"AL",59115,1520,1,30,2447,22,23,18,2518,1677,1105
2020-07-09,"AL",61397,1538,1,18,2282,22,22,18,2425,1771,1157
2020-07-10,"AL",63743,1558,1,20,2346,23,20,18,2358,1940,1209
2020-07-11,"AL",64713,1577,1,19,970,19,20,18,1866,1996,1216
2020-07-12,"AL",65555,1602,1,25,842,21,21,18,1386,1999,1221
2020-07-13,"AL",68077,1631,1,29,2522,24,23,19,1445,1994,1290
2020-07-14,"AL",70334,1665,1,34,2257,29,25,20,1874,1952,1352
2020-07-15,"AL",72521,1694,1,29,2187,31,25,20,2322,1915,1394
2020-07-16,"AL",74638,1726,1,32,2117,32,27,20,2187,1892,1438
2020-07-17,"AL",76473,1750,1,24,1835,28,27,21,2046,1819,1469
2020-07-18,"AL",77472,1786,1,36,999,31,30,22,1650,1823,1473
2020-07-19,"AL",78280,1828,1,42,808,34,32,23,1214,1818,1470
2020-07-20,"AL",80712,1857,1,29,2432,36,32,23,1413,1805,1530
2020-07-21,"AL",82789,1895,1,38,2077,36,33,24,1772,1779,1579
2020-07-22,"AL",84670,1935,1,40,1881,36,34,25,2130,1736,1600
2020-07-23,"AL",86428,1972,1,37,1758,38,35,25,1905,1684,1622
2020-07-24,"AL",87904,2012,1,40,1476,39,37,26,1705,1633,1634
2020-07-25,"AL",88721,2051,1,39,817,39,38,27,1350,1607,1625
2020-07-26,"AL",89499,2093,1,42,778,40,38,28,1024,1603,1614
2020-07-27,"AL",91582,2137,1,44,2083,42,40,28,1226,1553,1659
2020-07-28,"AL",93491,2161,1,24,1909,37,38,29,1590,1529,1696
2020-07-29,"AL",95282,2200,1,39,1791,36,38,29,1928,1516,1702
2020-07-30,"AL",96744,2246,1,46,1462,36,39,30,1721,1474,1701
2020-07-31,"AL",97981,2299,1,53,1237,46,41,31,1497,1440,1687
2020-08-01,"AL",98836,2344,1,45,855,48,42,32,1185,1445,1661
2020-08-02,"AL",99621,2386,1,42,785,47,42,32,959,1446,1649
2020-08-03,"AL",101526,2416,1,30,1905,39,40,33,1182,1421,1693
2020-08-04,"AL",103040,2463,1,47,1514,40,43,34,1401,1364,1716
2020-08-05,"AL",104547,2501,1,38,1507,38,43,34,1642,1324,1681
2020-08-06,"AL",105929,2548,1,47,1382,44,43,35,1468,1312,1642
2020-08-07,"AL",107295,2595,1,47,1366,44,42,36,1418,1331,1606
2020-08-08,"AL",108052,2638,1,43,757,46,42,37,1168,1317,1555
2020-08-09,"AL",108675,2675,1,37,623,42,41,37,915,1293,1498
2020-08-10,"AL",110191,2718,1,43,1516,41,43,38,965,1238,1516
2020-08-11,"AL",111445,2758,1,40,1254,40,42,39,1131,1201,1530
2020-08-12,"AL",112550,2788,1,30,1105,38,41,39,1292,1143,1482
2020-08-13,"AL",113554,2823,1,35,1004,35,39,39,1121,1089,1441
2020-08-14,"AL",114562,2856,1,33,1008,33,37,39,1039,1038,1401
2020-08-15,"AL",115181,2892,1,36,619,35,36,39,877,1018,1351
2020-08-16,"AL",115720,2922,1,30,539,33,35,39,722,1006,1308
2020-08-17,"AL",116848,2950,1,28,1128,31,33,39,762,951,1313
2020-08-18,"AL",117790,2983,1,33,942,30,32,38,870,906,1317
2020-08-19,"AL",118780,3021,1,38,990,33,33,39,1020,890,1269
2020-08-20,"AL",119750,3050,1,29,970,33,32,38,967,885,1232
2020-08-21,"AL",120960,3088,1,38,1210,35,33,38,1057,914,1210
2020-08-22,"AL",121682,3118,1,30,722,32,32,38,967,929,1175
2020-08-23,"AL",122464,3146,1,28,782,32,32,38,905,963,1152
2020-08-24,"AL",123954,3176,1,30,1490,29,32,38,998,1015,1174
2020-08-25,"AL",125214,3205,1,29,1260,29,32,37,1177,1061,1190
2020-08-26,"AL",126887,3227,1,22,1673,27,29,36,1474,1158,1177
2020-08-27,"AL",128190,3252,1,25,1303,25,29,36,1412,1206,1157
2020-08-28,"AL",129353,3282,1,30,1163,26,28,36,1380,1199,1136
2020-08-29,"AL",129997,3316,1,34,644,30,28,36,1037,1188,1108
2020-08-30,"AL",130659,3330,1,14,662,26,26,34,823,1171,1089
2020-08-31,"AL",132036,3354,1,24,1377,24,25,34,894,1155,1107
2020-09-01,"AL",133414,3385,1,31,1378,23,26,33,1139,1171,1126
2020-09-02,"AL",134717,3409,1,24,1303,26,26,33,1353,1119,1106
2020-09-03,"AL",135804,3437,1,28,1087,28,26,32,1256,1088,1092
2020-09-04,"AL",136858,3463,1,26,1054,26,26,32,1148,1072,1077
2020-09-05,"AL",137435,3489,1,26,577,27,25,31,906,1063,1050
2020-09-06,"AL",137975,3508,1,19,540,24,25,30,724,1045,1023
2020-09-07,"AL",138716,3534,1,26,741,24,26,30,619,954,1022
2020-09-08,"AL",140070,3552,1,18,1354,21,24,29,878,951,1046
2020-09-09,"AL",141198,3580,1,28,1128,24,24,29,1074,926,1034
2020-09-10,"AL",142170,3606,1,26,972,24,24,28,1151,909,1024
2020-09-11,"AL",143087,3625,1,19,917,24,23,28,1006,890,1018
2020-09-12,"AL",143632,3648,1,23,545,23,23,28,811,885,1003
2020-09-13,"AL",144190,3679,1,31,558,24,24,27,673,888,988
2020-09-14,"AL",145257,3696,1,17,1067,24,23,27,723,934,1003
2020-09-15,"AL",146207,3722,1,26,950,25,24,27,858,877,1016
2020-09-16,"AL",147112,3750,1,28,905,24,24,27,974,845,1009
2020-09-17,"AL",147946,3769,1,19,834,24,23,26,896,825,1005
2020-09-18,"AL",148781,3785,1,16,835,21,23,25,858,813,1000
2020-09-19,"AL",149329,3794,1,9,548,15,21,25,739,814,986
2020-09-20,"AL",149875,3809,1,15,546,13,19,24,643,812,964
2020-09-21,"AL",150960,3829,1,20,1085,15,19,24,726,815,976
2020-09-22,"AL",151852,3846,1,17,892,17,18,23,841,806,980
2020-09-23,"AL",152666,3866,1,20,814,19,17,23,930,793,957
2020-09-24,"AL",153784,3879,1,13,1118,17,16,22,941,834,952
2020-09-25,"AL",154733,3887,1,8,949,14,15,22,960,850,928
2020-09-26,"AL",155334,3900,1,13,601,11,15,22,889,858,905
2020-09-27,"AL",155922,3917,1,17,588,13,15,21,713,864,886
2020-09-28,"AL",157088,3931,1,14,1166,15,15,20,785,875,903
2020-09-29,"AL",158187,3952,1,21,1099,17,15,21,951,905,918
2020-09-30,"AL",159434,3968,1,16,1247,17,15,20,1171,967,913
2020-10-01,"AL",160262,3985,1,17,828,18,15,20,1058,925,895
2020-10-02,"AL",161610,4003,1,18,1348,17,17,20,1141,982,896
2020-10-03,"AL",162255,4020,1,17,645,17,17,19,940,989,882
2020-10-04,"AL",162921,4041,1,21,666,19,18,19,886,1000,869
2020-10-05,"AL",164159,4069,1,28,1238,22,20,19,850,1010,891
2020-10-06,"AL",165198,4089,1,20,1039,23,20,19,981,1002,907
2020-10-07,"AL",166304,4109,1,20,1106,23,20,19,1128,981,920
2020-10-08,"AL",167446,4126,1,17,1142,19,20,19,1096,1026,913
2020-10-09,"AL",168532,4145,1,19,1086,19,20,19,1111,989,911
2020-10-10,"AL",169282,4167,1,22,750,19,21,19,993,1004,904
2020-10-11,"AL",170021,4184,1,17,739,19,20,19,858,1014,898
2020-10-12,"AL",171361,4199,1,15,1340,18,19,18,943,1029,924
2020-10-13,"AL",172602,4219,1,20,1241,17,19,18,1107,1058,947
2020-10-14,"AL",173716,4237,1,18,1114,18,18,18,1232,1059,949
2020-10-15,"AL",174902,4256,1,19,1186,19,19,18,1180,1065,956
2020-10-16,"AL",175982,4278,1,22,1080,20,19,18,1127,1064,962
2020-10-17,"AL",176709,4295,1,17,727,19,18,18,998,1061,959
2020-10-18,"AL",177525,4317,1,22,816,20,19,18,874,1072,958
2020-10-19,"AL",179061,4339,1,22,1536,20,20,18,1026,1100,991
2020-10-20,"AL",180374,4355,1,16,1313,20,19,18,1222,1110,1017
2020-10-21,"AL",181639,4361,1,6,1265,15,18,18,1371,1132,1023
2020-10-22,"AL",185053,4379,1,18,3414,13,18,18,1997,1450,1107
2020-10-23,"AL",187273,4400,1,21,2220,15,17,18,2300,1613,1154
2020-10-24,"AL",188048,4422,1,22,775,20,18,18,2136,1620,1142
2020-10-25,"AL",188945,4440,1,18,897,20,18,18,1297,1631,1140
2020-10-26,"AL",190705,4458,1,18,1760,19,17,19,1144,1663,1179
2020-10-27,"AL",192476,4481,1,23,1771,20,18,19,1476,1729,1218
2020-10-28,"AL",194006,4501,1,20,1530,20,20,19,1687,1767,1231
2020-10-29,"AL",195305,4527,1,26,1299,23,21,19,1533,1465,1237
2020-10-30,"AL",196553,4542,1,15,1248,20,20,19,1359,1326,1237
2020-10-31,"AL",197903,4558,1,16,1350,19,19,19,1299,1408,1255
2020-11-01,"AL",198841,4577,1,19,938,17,20,19,1179,1414,1241
2020-11-02,"AL",200534,4599,1,22,1693,19,20,19,1327,1404,1276
2020-11-03,"AL",201989,4615,1,16,1455,19,19,19,1362,1359,1302
2020-11-04,"AL",203559,4638,1,23,1570,20,20,19,1573,1365,1313
2020-11-05,"AL",205338,4668,1,30,1779,23,20,19,1601,1433,1338
2020-11-06,"AL",206995,4692,1,24,1657,26,21,19,1669,1492,1356
2020-11-07,"AL",208169,4709,1,17,1174,24,22,19,1537,1467,1357
2020-11-08,"AL",209383,4731,1,22,1214,21,22,20,1348,1506,1362
2020-11-09,"AL",212186,4755,1,24,2803,21,22,20,1730,1665,1430
2020-11-10,"AL",214554,4777,1,22,2368,23,23,20,2128,1795,1484
2020-11-11,"AL",216895,4801,1,24,2341,23,23,20,2504,1905,1518
2020-11-12,"AL",219207,4833,1,32,2312,26,24,20,2340,1981,1554
2020-11-13,"AL",221291,4857,1,24,2084,27,24,21,2246,2042,1586
2020-11-14,"AL",222784,4888,1,31,1493,29,26,21,1963,2088,1596
2020-11-15,"AL",224143,4913,1,25,1359,27,26,21,1645,2109,1605
2020-11-16,"AL",227243,4937,1,24,3100,27,26,21,1984,2151,1684
2020-11-17,"AL",229828,4961,1,24,2585,24,26,21,2348,2182,1743
2020-11-18,"AL",232324,4981,1,20,2496,23,26,21,2727,2204,1775
2020-11-19,"AL",234751,5005,1,24,2427,23,25,22,2503,2221,1813
2020-11-20,"AL",236925,5036,1,31,2174,25,26,22,2366,2233,1843
2020-11-21,"AL",238385,5069,1,33,1460,29,26,23,2020,2229,1778
2020-11-22,"AL",239953,5096,1,27,1568,30,26,23,1734,2259,1756
2020-11-23,"AL",243237,5123,1,27,3284,29,27,23,2104,2285,1840
2020-11-24,"AL",246055,5146,1,23,2818,26,26,24,2557,2318,1904
2020-11-25,"AL",248717,5183,1,37,2662,29,29,24,2921,2342,1934
2020-11-26,"AL",249432,5207,1,24,715,28,29,24,2065,2097,1899
2020-11-27,"AL",252229,5240,1,33,2797,31,29,25,2058,2186,1941
2020-11-28,"AL",254335,5277,1,37,2106,31,30,25,1873,2279,1968
2020-11-29,"AL",256625,5318,1,41,2290,37,32,26,2398,2382,2002
2020-11-30,"AL",261431,5353,1,35,4806,38,33,26,3067,2599,2118
2020-12-01,"AL",265390,5383,1,30,3959,35,34,27,3685,2762,2218
2020-12-02,"AL",269015,5423,1,40,3625,35,34,27,4130,2900,2283
2020-12-03,"AL",272667,5463,1,40,3652,37,37,28,3745,3319,2356
2020-12-04,"AL",275971,5500,1,37,3304,39,37,29,3527,3392,2414
2020-12-05,"AL",278052,5536,1,36,2081,38,37,29,3012,3388,2424
2020-12-06,"AL",280444,5591,1,55,2392,43,39,30,2592,3403,2448
2020-12-07,"AL",285290,5640,1,49,4846,47,41,31,3106,3408,2571
2020-12-08,"AL",289222,5693,1,53,3932,52,44,32,3723,3405,2661
2020-12-09,"AL",293096,5750,1,57,3874,53,47,33,4217,3440,2697
2020-12-10,"AL",297140,5802,1,52,4044,54,48,34,3950,3496,2753
2020-12-11,"AL",301179,5854,1,52,4039,54,51,35,3986,3601,2809
2020-12-12,"AL",303616,5919,1,65,2437,56,55,36,3507,3652,2814
2020-12-13,"AL",306076,5958,1,39,2460,52,52,37,2979,3662,2826
2020-12-14,"AL",311735,6020,1,62,5659,55,54,38,3519,3778,2965
2020-12-15,"AL",316499,6077,1,57,4764,53,55,39,4294,3897,3079
2020-12-16,"AL",320814,6149,1,72,4315,64,57,40,4913,3960,3119
2020-12-17,"AL",324947,6200,1,51,4133,60,57,41,4404,3972,3171
2020-12-18,"AL",328628,6255,1,55,3681,59,57,42,4043,3921,3210
2020-12-19,"AL",331002,6313,1,58,2374,55,56,44,3396,3912,3208
2020-12-20,"AL",333418,6376,1,63,2416,59,60,45,2824,3906,3216
2020-12-21,"AL",338913,6441,1,65,5495,62,60,46,3428,3883,3351
2020-12-22,"AL",343510,6506,1,65,4597,64,61,47,4169,3859,3452
2020-12-23,"AL",347654,6584,1,78,4144,69,62,49,4745,3834,3481
2020-12-24,"AL",350000,6644,1,60,2346,68,63,50,3696,3579,3465
2020-12-25,"AL",350943,6700,1,56,943,65,64,51,2478,3188,3408
2020-12-26,"AL",354126,6772,1,72,3183,63,66,52,2157,3303,3490
2020-12-27,"AL",357059,6845,1,73,2933,67,67,54,2353,3377,3494
2020-12-28,"AL",363481,6913,1,68,6422,71,67,55,4179,3510,3638
2020-12-29,"AL",369010,6992,1,79,5529,73,69,56,4961,3643,3746
2020-12-30,"AL",374344,7059,1,67,5334,71,68,57,5762,3813,3764
2020-12-31,"AL",378465,7128,1,69,4121,72,69,58,4995,4066,3769
2021-01-01,"AL",380736,7209,1,81,2271,72,73,60,3909,4256,3724
2021-01-02,"AL",383957,7287,1,78,3221,76,74,61,3204,4262,3710
2021-01-03,"AL",387089,7363,1,76,3132,78,74,62,2875,4290,3704
2021-01-04,"AL",393460,7452,1,89,6371,81,77,64,4241,4283,3847
2021-01-05,"AL",398643,7521,1,69,5183,78,76,64,4895,4233,3940
2021-01-06,"AL",403093,7600,1,79,4450,79,77,65,5335,4107,3927
2021-01-07,"AL",407371,7679,1,79,4278,76,79,66,4637,4129,3938
2021-01-08,"AL",411124,7750,1,71,3753,76,77,67,4160,4341,3934
2021-01-09,"AL",413409,7831,1,81,2285,77,78,68,3439,4207,3876
2021-01-10,"AL",415408,7912,1,81,1999,78,78,69,2679,4046,3808
2021-01-11,"AL",419588,7997,1,85,4180,82,78,69,2821,3733,3866
2021-01-12,"AL",422924,8074,1,77,3336,81,79,71,3172,3469,3895
2021-01-13,"AL",426080,8157,1,83,3156,82,80,71,3557,3284,3812
2021-01-14,"AL",429235,8251,1,94,3155,85,82,72,3216,3123,3758
2021-01-15,"AL",432195,8324,1,73,2960,83,82,72,3090,3010,3713
2021-01-16,"AL",434016,8393,1,69,1821,79,80,73,2645,2944,3636
2021-01-17,"AL",435725,8462,1,69,1709,70,79,74,2163,2902,3570
2021-01-18,"AL",439114,8547,1,85,3389,74,79,74,2306,2789,3604
2021-01-19,"AL",442358,8627,1,80,3244,78,79,75,2781,2776,3631
2021-01-20,"AL",445236,8708,1,81,2878,82,79,76,3170,2737,3544
2021-01-21,"AL",448071,8794,1,86,2835,82,78,76,2986,2691,3485
2021-01-22,"AL",450566,8879,1,85,2495,84,79,76,2736,2624,3430
2021-01-23,"AL",452115,8949,1,70,1549,80,79,77,2293,2586,3404
2021-01-24,"AL",453672,9020,1,71,1557,75,80,77,1867,2564,3424
2021-01-25,"AL",456937,9084,1,64,3265,68,77,77,2124,2546,3427
2021-01-26,"AL",459760,9157,1,73,2823,69,76,77,2548,2486,3423
2021-01-27,"AL",462314,9217,1,60,2554,66,73,77,2881,2440,3294
2021-01-28,"AL",464597,9297,1,80,2283,71,72,77,2553,2361,3186
2021-01-29,"AL",466508,9374,1,77,1911,72,71,77,2249,2277,3072
2021-01-30,"AL",467720,9440,1,66,1212,74,70,77,1802,2229,2975
2021-01-31,"AL",468880,9478,1,38,1160,60,65,76,1428,2173,2938
2021-02-01,"AL",471248,9531,1,53,2368,52,64,75,1580,2044,2910
2021-02-02,"AL",473242,9583,1,52,1994,48,61,74,1841,1926,2872
2021-02-03,"AL",474913,9639,1,56,1671,54,60,73,2011,1800,2715
2021-02-04,"AL",476503,9689,1,50,1590,53,56,72,1752,1701,2595
2021-02-05,"AL",478040,9740,1,51,1537,52,52,71,1599,1647,2498
